Time,Volume,Day Open,Day Close,Normalized Day Change,Normalized Volume to Moving Average,Normalized Open to Moving Average,Normalized Open (52wk High/Low),Normalized Yesterday Close to Today Open,Past First Derivative,Past Average Normalized Open to Close,Past Second Derivative,Buy
2019-10-08,7136368,0.98,0.9622,-0.018163265306122375,0.3333845106981926,0.5605091857618039,0.7562674094707521,-0.015814156396553557,0.0064875,0.533881493441585,0.0028000000000000017,0
2019-10-09,4634019,0.998,0.9884,-0.009619238476953961,0.21811141065160136,0.5697426681311756,0.7719359331476323,0.02970297029702973,0.005821875,0.52690924846934,0.0013312500000000008,0
2019-10-10,2743823,0.99,0.9745,-0.015656565656565615,0.13040082364361852,0.5642204393491228,0.7649721448467967,-0.03720640199542709,0.006543749999999999,0.5257195299849354,-0.002037499999999999,1
2019-10-11,7171198,0.98,1.0,0.02040816326530614,0.3422096506829454,0.5576844126068545,0.7562674094707521,-0.0016187778227438748,0.00555,0.5201311934642333,-0.0003999999999999992,0
2019-10-14,3448307,1.0,0.9919,-0.008099999999999996,0.16596265799311616,0.5680724527947612,0.7736768802228412,-0.005643919958953257,0.006562499999999999,0.5193618207770526,0.0043749999999999995,1
2019-10-15,3878490,0.9948,1.01,0.01527945315641334,0.1881405893431719,0.5641999799682919,0.7691504178272981,0.0,0.006809374999999999,0.5192026875600658,-0.0008812499999999993,1
2019-10-16,2940379,1.01,1.02,0.00990099009900991,0.14390381038589192,0.5717925408897715,0.7823816155988857,-0.0029236818227644052,0.006149999999999999,0.516419679150326,-0.004037499999999999,0
2019-10-17,6564192,1.03,1.01,-0.019417475728155355,0.3226619530270981,0.5819354663746305,0.799791086350975,0.0,0.005409375,0.5078893228077728,0.002068750000000001,0
2019-10-18,5179411,1.01,1.0,-0.00990099009900991,0.25610770524973236,0.5696661390827477,0.7823816155988857,-0.00980392156862746,0.0030812500000000007,0.5055784249920757,-0.0061625000000000004,1
2019-10-21,3443243,1.01,1.02,0.00990099009900991,0.171606223670986,0.5687227885853876,0.7823816155988857,0.0,0.002118750000000001,0.49825423684785,0.0004875000000000004,1
2019-10-22,6851247,1.01,1.07,0.05940594059405946,0.34273473912230096,0.5678046446195055,0.7823816155988857,-0.010000000000000009,0.0013625,0.4989683430843442,0.0012250000000000004,1
2019-10-23,7438982,1.04,1.06,0.019230769230769246,0.3732461529498727,0.5835211335383416,0.8084958217270195,0.00980392156862746,0.003609375,0.5024869529047782,0.004718750000000001,0
2019-10-24,4072640,1.06,1.06,0.0,0.20574046422281575,0.5934501635199091,0.8259052924791087,0.028037383177570117,0.0037500000000000003,0.5030732175613947,8.673617379884035e-19,0
2019-10-25,6972495,1.05,1.01,-0.038095238095238126,0.35342140824476626,0.586680195698227,0.817200557103064,0.0,0.004003125,0.4997715929005466,0.0005062500000000008,0
2019-10-28,2771258,1.02,1.02,0.0,0.1416135029150956,0.569023860440398,0.7910863509749304,0.009433962264150952,0.0017250000000000004,0.4966985576701945,-0.0034499999999999986,1
2019-10-29,3129741,1.01,1.03,0.01980198019801982,0.16115009229360966,0.5626519160173246,0.7823816155988857,-0.00990099009900991,0.00031250000000000044,0.4951570359623789,-0.0006249999999999987,0
2019-10-30,4332526,1.01,1.01,0.0,0.22444740206501326,0.5618782292561965,0.7823816155988857,0.00980392156862746,1.6263032587282567e-19,0.49570982755994664,0.0025000000000000005,1
2019-10-31,5553375,0.9975,1.0,0.0025062656641603475,0.2890277010731773,0.5542624978492656,0.7715006963788301,0.019417475728155355,0.0003125000000000006,0.49734914057342333,0.000625000000000001,1
2019-11-01,4673286,1.01,1.03,0.01980198019801982,0.2445736609389754,0.5604703936780322,0.7823816155988857,0.012376237623762332,-0.0010156249999999996,0.4983869220457032,-0.00046874999999999933,0
2019-11-04,6554244,1.03,1.01,-0.019417475728155355,0.344162042481427,0.5706997894647096,0.799791086350975,-0.010000000000000009,-0.0012500000000000002,0.49893971364327094,-0.0024999999999999988,1
2019-11-05,6988002,1.01,1.05,0.03960396039603964,0.36796937836711263,0.5589167321134177,0.7823816155988857,0.0,-0.001875,0.49398365104438785,-0.0025000000000000005,0
